b'"actual_costs_to_report_date","adopted_budget","amended_budget","available_balance","category","date","date_created","department","project_description","project_id","project_year","spent","subcategory","tax_supported_utilities"
"2535042.47","3500000","2623000","87957.53","Interceptors","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Sewage Disposal Utility","Warde Inerceptor Extention","2037000515","2015","96.65",,"Utilities"
"82983923.36","87500000","87485000","4501076.64","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Plessis Road Twinning and Grad","1803000112","2012","94.86","Street Improvements","Tax Supported (including Transit)"
"141433.75","200000","200000","58566.25","Community Facilities","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Municipal Accommodations","Community Facilities","6394000115","2015","70.72",,"Tax Supported (including Transit)"
"60000","0","90000","30000","Other Street Projects","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","SMIR-Portland Limestone Cement","1816010115","2015","66.67","Asset Management","Tax Supported (including Transit)"
"298509.18","1000000","996750","698240.82","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Rec Walkways & Bike Paths","1832000115","2015","29.95","Active Transportation Facilities","Tax Supported (including Transit)"
"370056.28","1405810","1405810","1035753.72","Local Improvements - Ongoing Program","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Local Improvements","2015 Local Improvements","1420000115","2015","26.32",,"Tax Supported (including Transit)"
"1693538.7","1700000","1700000","6461.3","Police Headquarters","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Winnipeg Police Service","Police HQ Bldg Sys Safeguards","2204400015","2015","99.62",,"Tax Supported (including Transit)"
"91878.18","400000","400000","308121.82","Other","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Planning, Property and Development","BIZ Zones Image Rtes Main Sts","6351241516","2016","22.97",,"Tax Supported (including Transit)"
"7828843.09","795071171.22","795071171.22","787242328.13","Wastewater Sewage Treatment Program","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Sewage Disposal Utility","NEWPCC Nutrient Removal      P","203110013B","2012","0.98",,"Utilities"
"19034.23","1465000","1465000","1445965.77","Aqueduct Intake Con Assmt","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","Aqueduct Intake Con Assmt","2012000216","2016","1.3",,"Utilities"
"0","0","70000","70000","Other","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","City Clerks","ICF -AutoPulse Resusc Sys","0400081716","2016","0",,"Tax Supported (including Transit)"
